SiteID,Exp Unit ID,Sampling Year,Treatment ID,Crop,Above earshank_biomass,Above earshank_carbon_kgC/ha,Above earshank_nitrogen_kgN/ha,Below earshank_biomass,Below earshank_carbon_kgC/ha,Below earshank_nitrogen_kgN/ha,Cobs_biomass,Cobs_carbon_kgC/ha,Cobs_nitrogen_kgN/ha,Grain_biomass,Grain_carbon_kgC/ha,Grain_nitrogen_kgN/ha,Stover (all non-grain biomass)_biomass,Stover (all non-grain biomass)_carbon_kgC/ha,Stover (all non-grain biomass)_nitrogen_kgN/ha,Husk_biomass,Husk_carbon_kgC/ha,Husk_nitrogen_kgN/ha,Leaves_biomass,Leaves_carbon_kgC/ha,Leaves_nitrogen_kgN/ha,Stems_biomass,Stems_carbon_kgC/ha,Stems_nitrogen_kgN/ha,Stems and leaves_biomass,Stems and leaves_carbon_kgC/ha,Stems and leaves_nitrogen_kgN/ha,Tassel_biomass,Tassel_carbon_kgC/ha,Tassel_nitrogen_kgN/ha,Roots_biomass,Roots_carbon_kgC/ha,Roots_nitrogen_kgN/ha,Pod_biomass,Pod_carbon_kgC/ha,Pod_nitrogen_kgN/ha,Whole plant (above and belowground biomass)_biomass,Whole plant (above and belowground biomass)_carbon_kgC/ha,Whole plant (above and belowground biomass)_nitrogen_kgN/ha,Aboveground biomass_biomass,Aboveground biomass_carbon_kgC/ha,Aboveground biomass_nitrogen_kgN/ha
IAAMBRUN,IAAMBRUN_201,2011,IAAMBRUN_3,Zea mays (Corn),2669.33,1157.1528630132161,22.689271823788555,1865.52,821.3881766907491,18.09553784669604,945.65,429.80018748898686,6.619584845814978,5943.6,2676.998920507112,96.2863732509219,2374.71,1026.82,10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_201,2012,IAAMBRUN_3,Zea mays (Corn),2804.4645965402387,1215.7354026001935,23.837949070592032,3584.2105941764266,1578.1279246158808,34.76684276351134,1421.8897603954017,646.2488960997101,9.953228322767812,5728.651218274876,2580.1845087110037,92.804149736053,4579.62,2027.4,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_202,2008,IAAMBRUN_2,Zea mays (Corn),3423,1465,23,4689,2020,30,1865,847,6,7755.81,3374.552931,93.845301,710.97,315.883971,3.1282680000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_202,2009,IAAMBRUN_2,Zea mays (Corn),2168.21807241861,947.2944758396907,11.274733976576773,2951.6334629848507,1253.558731729666,14.167840622327281,1118.116445686043,510.9792156785217,6.708698674116259,6739.377709782512,2834.582264734525,75.48103034956415,1559.06,675.2,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_202,2010,IAAMBRUN_2,Zea mays (Corn),1791.8,753.2732504077535,12.184248579383263,1885.55,815.500399844934,11.69041035615859,1814.2,830.357550816423,14.694988336493395,5618.1,2451.1769509720766,68.5408177901887,1136.12,525.6,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_202,2011,IAAMBRUN_2,Zea mays (Corn),1908.5,831.9167553409694,15.840580567400886,1869.82,822.1588854977974,16.45439661674009,962.85,436.17046329515426,7.125080415859033,6894.25,3136.193615785827,107.55027567874018,659.64,286.88,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_202,2012,IAAMBRUN_2,Zea mays (Corn),3243.481250671538,1413.8334771677235,26.920894380573767,3322.1110991726664,1460.7322503062214,29.234577672719468,1631.5693563984103,739.1009184484798,12.073613237348237,7676.738623801514,3492.148399967309,119.75712253130364,1058.6,485.4,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_203,2008,IAAMBRUN_1,Zea mays (Corn),3530,1520,23,5411,2386,31,2370,1074,7,7997.19,3485.1754019999994,97.56571799999999,4490.016,1971.5660255999999,25.1440896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_203,2009,IAAMBRUN_1,Zea mays (Corn),3039.8299430536163,1322.6300082226285,17.631013669710974,4117.189917266574,1761.3338466066407,20.997668578059532,1430.276944235522,649.2027049885035,10.154966304072206,8870.51136884022,3731.8241328710806,95.80152278347438,5231.18,2316.9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAAMBRUN,IAAMBRUN_203,2010,IAAMBRUN_1,Zea mays (Corn),2142.42,906.2454945155949,14.78272792472247,1999.16,865.6352441571808,9.79587227799119,1922.22,903.2491480320003,14.608839168000003,6271.98,2706.9869449087023,63.34700682015267,3770.4,1740,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
